Código do Ativo;Empresa;Série;Emissão;IPO;Situação;ISIN;Registro CVM da Emissão;Data de Registro CVM da Emissão;Registro CVM do Programa;Data de Registro CVM do Programa;Data de Emissão; Data de Vencimento;Motivo de Saída ;Data de Saída / Novo Vencimento; Data do Início da Rentabilidade;Data do Início da Distribuição;Data da Próxima Repactuação;Ato Societário (1);Data do Ato (1);Ato Societário (2);Data do Ato (2);Forma;Garantia/Espécie;Classe;Quantidade Emitida;Artigo 14º;Artigo 24º;Quantidade em Mercado;Quantidade em Tesouraria;Quantidade Resgatada;Quantidade  Cancelada;Quantidade Convertida no SND;Quantidade Convertida fora do SND;Quantidade Permutada no SND;Quantidade Permutada fora do SND;Unidade Monetária;Valor Nominal na Emissão;Unidade Monetária;Valor Nominal Atual;Data Últ VNA;Índice;Tipo;Critério de Cálculo;Dia de Referência para Índice de Preços;Critério para Índice;Corrige a cada;Percentual Multiplicador/Rentabilidade;Limite da TJLP;Tipo de Tratamento do Limite da TJLP;Juros Critério Antigo do SND;Prêmios Critério Antigo do SND;Amortização - Taxa;Amortização - Cada;Amortização - Unidade;Amortização - Carência;Amortização - Critério;Tipo de Amortização;Juros Critério Novo - Taxa;Juros Critério Novo - Prazo;Juros Critério Novo - Cada;Juros Critério Novo - Unidade;Juros Critério Novo - Carência;Juros Critério Novo - Critério;Juros Critério Novo - Tipo;Prêmio Critério Novo - Taxa;Prêmio Critério Novo - Prazo;Prêmio Critério Novo - Cada;Prêmio Critério Novo - Unidade;Prêmio Critério Novo - Carência;Prêmio Critério Novo - Critério;Prêmio Critério Novo - Tipo;Participação - Taxa;Participação - Cada;Participação - Unidade;Participação - Carência;Participação - Descrição;Rating1;Agência Classificadora;Rating2;Agência Classificadora;Rating3;Agência Classificadora;Banco Mandatário;Agente Fiduciário;Instituição Depositária;Coordenador Líder;CNPJ;Deb Incent (Lei 12431);Escritura Padronizada;Resgate Antecipado
IPPT11;IPIRANGA  PRODUTOS DE PETROLEO SA;'ÚNI;'001;ND;Registrado;BRIPIPDBS009;DISPENSA ICVM 476/09;06/12/2012;;;16/11/2012;16/11/2017; - - - - - - ;;07/12/2012;-;-;AGE;07/11/2012;;;Escritural;Quirografária;Simples;60000;0,;0,;60000;0;0;0;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;107,90;0,000;-;;;-;-;-;-;-;-;0,0000;0,;6;MES;16/05/2013;-;Linear;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A;3.33371E+13;N; n ;
IPPT12;IPIRANGA  PRODUTOS DE PETROLEO SA;'ÚNI;'002;ND;Registrado;BRIPIPDBS017;DISPENSA ICVM 476/09;08/01/2014;;;20/12/2013;20/12/2018; - - - - - - ;;09/01/2014;09/01/2014;-;AGE;11/12/2013;;;Escritural;Quirografária;Simples;80000;0,;0,;80000;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;107,90;0,000;-;;;-;-;-;-;-;-;0,0000;0,;6;MES;20/06/2014;-;Linear;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;ITAU UNIBANCO SA;3.33371E+13;N; n ;
IPPT14;IPIRANGA  PRODUTOS DE PETROLEO SA;'ÚNI;'004;ND;Registrado;BRIPIPDBS025;DISPENSA ICVM 476/09;24/05/2016;;;25/05/2016;25/05/2021; - - - - - - ;;25/05/2016;25/05/2016;-;AGE;11/05/2016;;;Escritural;Quirografária;Simples;500;0,;0,;500;0;0;0,;0,;0;0,;0;R$;1,000,000,000,000;R$;1,000,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;105,00;0,000;-;;;333,300;12;MES;25/05/2019;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;0,0000;0,;6;MES;25/11/2016;-;Linear;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO SAFRA S/A   ;3.33371E+13;N; n ;
IRAC11;IRACEMA TRANSMISSORA DE ENERGIA S/A;'ÚNI;'001;ND;Registrado;BRIRCTDBS000;DISPENSA ICVM 476/09;10/12/2010;;;10/12/2010;10/12/2035; - - - - - - ;;10/12/2010;-;-;AGE;27/09/2010;;;Escritural;Real;Simples;109;0,;0,;109;0;0;0;0,;0;0,;0;R$;1,000,000,000,000;R$;1,077,447,370,982;21/07/2016;TR;Integrante de Juros;Padrão - SND;;-;   ;0,00;0,000;-;;;-;1;MES;10/01/2012;-;Percentual variável sobre o valor nominal de emissão em períodos uniformes;90,000;252;1;MES;10/01/2012;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO CITIBANK S/A;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;BANCO CITIBANK S/A;RIO BRAVO INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;9.25073E+12;N; n ;
IRTH11;IRTHA EMPREENDIMENTOS IMOBILIARIOS SA;'ÚNI;'001;ND;Registrado;BRIRTHDBS009;DISPENSA ICVM 476/09;09/02/2012;;;24/01/2012;02/01/2019; - - - - - - ;;24/01/2012;-;-;AGE;24/01/2012;;;Escritural;Quirografária;Simples;50000;0,;0,;50000;0;0;0;0,;0;0,;0;R$;1,000,000,000;R$;372,876,000;21/07/2016;DI;Integrante de Juros;Não Padrão - SND;;-;   ;100,00;0,000;-;5,5000% aa 252 dias;;-;-;MES;30/03/2013;;Percentual variável sobre o valor nominal de emissão em períodos uniformes;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;ITAU UNIBANCO SA;OLIVEIRA TRUST DTVM SA;ITAU CV S/A;BANCO DE INVESTIMENTOS CREDIT SUISSE BRASIL S/A;7.51203E+13;N; n ;
ISOL13;ISOLUX ENERGIA E PARTICIPACOES S/A;'001;'003;ND;Registrado;BRISLUDBS023;DISPENSA ICVM 476/09;18/12/2013;;;15/12/2013;15/05/2020; - - - - - - ;;19/12/2013;19/12/2013;-;AGE;05/12/2013;;;Escritural;Real;Simples;90000;0,;0,;90000;0;0;0,;0,;0;0,;0;R$;1,000,000,000;R$;1,179,318,436;21/07/2016;IPCA;  - ;Padrão - SND;15;-;;0,00;0,000;-;;;-;6;MES;15/12/2015;-;Percentual variável sobre o valor nominal de emissão em períodos uniformes;120,000;252;6;MES;15/12/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BCO VOTORANTIM S/A;4.72686E+12;N; n ;
ISOL23;ISOLUX ENERGIA E PARTICIPACOES S/A;'002;'003;ND;Registrado;BRISLUDBS031;DISPENSA ICVM 476/09;18/12/2013;;;15/12/2013;15/05/2020; - - - - - - ;;19/12/2013;19/12/2013;-;AGE;05/12/2013;;;Escritural;Real;Simples;90000;0,;0,;90000;0;0;0,;0,;0;0,;0;R$;1,000,000,000;R$;951,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;-;6;MES;15/12/2015;-;Percentual variável sobre o valor nominal de emissão em períodos uniformes;68,500;252;6;MES;15/12/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BCO VOTORANTIM S/A;4.72686E+12;N; n ;
ITAP13;ITAPEBI GERACAO DE ENERGIA S/A;'ÚNI;'003;ND;Registrado;BRITPBDBS030;DISPENSA ICVM 476/09;26/04/2011;;;20/04/2011;20/04/2017; - - - - - - ;;20/04/2011;-;-;AGE;31/03/2011;RCA;31/03/2011;Escritural;Quirografária;Simples;20000;0,;0,;20000;0;0;0;0,;0;0,;0;R$;10,000,000,000;R$;4,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;111,00;0,000;-;;;200,000;6;MES;20/04/2015;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;0,0000;0,;6;MES;20/10/2011;-;Linear;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;ITAU UNIBANCO SA;OLIVEIRA TRUST DTVM SA;ITAU CV S/A;BANCO CITIBANK S/A;2.39708E+12;N; n ;
ITPO11;ITAPOA TERMINAIS PORTUARIOS SA;'ÚNI;'001;ND;Registrado;BRITPODBS009;DISPENSA ICVM 476/09;10/05/2013;;;13/05/2013;13/05/2023; - - - - - - ;;13/05/2013;13/05/2013;-;AGE;19/03/2013;RCA;19/03/2013;Escritural;Quirografária;Simples;4500;0,;0,;4500;0;0;0,;0,;0;0,;0;R$;100,000,000,000;R$;82,360,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;;100,00;0,000;-;;;58,800;6;MES;13/05/2015;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;36,000;252;6;MES;13/11/2013;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;SIMPLIFIC PAVARINI DTVM LTDA;ITAU CV S/A;BB BCO DE INVESTIMENTO S/A;1.31728E+12;N; n ;
ITSY11;ITSA INTTECHSYSTEMS-TECPINSTFINSA;'ÚNI;'001;ND;Registrado;BRIITSDBS005;Dispensa ICVM 476/09;10/03/2016;;;26/01/2016;26/01/2023; - - - - - - ;;26/01/2016;08/03/2016;-;AGE;21/12/2015;;;Escritural;Quirografária;Simples;3000;0,;0,;1452;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;IPCA;  - ;Não Padrão - SND;;-;;0,00;0,000;-;9,0000% aa 252 dias;;250,000;-;MES;26/01/2020;;Percentual fixo sobre o valor nominal atualizado em períodos uniformes;;;;;;;;;;;;;;;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;ITAU CV S/A;GRADUAL CCTVM SA;1.71582E+13;N; n ;
IVIA14;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;'001;'004;ND;Registrado;BRIVIADBS033;DISPENSA ICVM 476/09;04/11/2014;;;15/10/2014;15/10/2019; - - - - - - ;;15/10/2014;05/11/2014;-;AGE;13/10/2014;RCA;13/10/2014;Escritural;Quirografária;Simples;15000;0,;0,;15000;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;333,300;12;MES;15/10/2017;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;11,000;252;6;MES;15/04/2015;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PENTAGONO S/A DTVM;ITAU CV S/A;BANCO DE INVESTIMENTOS CREDIT SUISSE BRASIL S/A;3.2077E+12;N; n ;
IVIA24;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;'002;'004;ND;Registrado;BRIVIADBS041;DISPENSA ICVM 476/09;04/11/2014;;;15/10/2014;15/10/2019; - - - - - - ;;15/10/2014;04/11/2014;-;AGE;13/10/2014;RCA;13/10/2014;Escritural;Quirografária;Simples;22500;0,;0,;22500;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;11,762,540,300;21/07/2016;IPCA;  - ;Padrão - SND;15;-;;0,00;0,000;-;;;-;-;-;-;-;-;59,600;252;12;MES;15/10/2015;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PENTAGONO S/A DTVM;ITAU CV S/A;BANCO DE INVESTIMENTOS CREDIT SUISSE BRASIL S/A;3.2077E+12;S; n ;
IVPR13;INVESTIMENTOS E PARTICIPACOES EM INFRA-ESTRUTURA S/A - INVEPAR;'ÚNI;'003;ND;Registrado;BRIVPRDBS024;DISPENSA ICVM 476/09;10/11/2015;;;15/10/2015;15/10/2024; - - - - - - ;;15/10/2015;15/10/2015;-;RCA;25/09/2015;;;Escritural;Quirografária;Simples;200000;0,;0,;200000;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,744,793,600;21/07/2016;IPCA;  - ;Padrão - SND;15;-;;0,00;0,000;-;;;-;12;MES;15/10/2018;-;Percentual variável sobre o valor nominal atualizado em períodos uniformes;119,353;252;12;MES;15/10/2016;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;SIMPLIFIC PAVARINI DTVM LTDA;BANCO BRADESCO S/A;BB BCO DE INVESTIMENTO S/A;3.75832E+12;N; n ;
JAUR12;JAURU TRANSMISSORA DE ENERGIA S/A;'ÚNI;'002;ND;Registrado;BRJAURDBS018;DISPENSA ICVM 476/09;22/11/2013;;;15/06/2013;15/12/2030; - - - - - - ;;15/06/2013;25/11/2013;-;AGE;20/06/2013;AGE;18/10/2013;Escritural;Quirografária;Simples;156;0,;0,;156;0;0;0,;0,;0;0,;0;R$;250,000,000,000;R$;316,672,767,500;21/07/2016;IPCA;  - ;Padrão - SND;15;-;;0,00;0,000;-;;;-;6;MES;15/06/2019;-;Percentual variável sobre o valor nominal atualizado em períodos uniformes;80,000;252;6;MES;15/12/2017;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO BNP PARIBAS BRASIL S/A;8.58346E+12;S; n ;
JCPM11;JCPM PARTICIPACOES E EMPREENDIMENTOS S/A;'ÚNI;'001;ND;Registrado;BRJCPMDBS007;DISPENSA ICVM 476/09;25/04/2013;;;19/04/2013;19/04/2019; - - - - - - ;;26/04/2013;26/04/2013;-;AGE;12/04/2013;;;Escritural;Quirografária;Simples;1000;0,;0,;1000;0;0;0,;0,;0;0,;0;R$;100,000,000,000;R$;68,750,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;;100,00;0,000;-;;;62,500;3;MES;19/07/2015;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;13,300;252;6;MES;19/10/2013;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO BRADESCO BBI S/A;1.14831E+13;N; n ;
JCPM12;JCPM PARTICIPACOES E EMPREENDIMENTOS S/A;'ÚNI;'002;ND;Registrado;BRJCPMDBS015;DISPENSA ICVM 476/09;28/05/2013;;;16/05/2013;16/05/2019; - - - - - - ;;16/05/2013;28/05/2013;-;AGE;06/05/2013;AGE;27/05/2013;Escritural;Flutuante;Simples;1000;0,;0,;1000;0;0;0,;0,;0;0,;0;R$;100,000,000,000;R$;75,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;;100,00;0,000;-;;;62,500;3;MES;16/08/2015;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;20,000;252;3;MES;16/08/2015;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO BTG PACTUAL S/A;1.14831E+13;N; n ;
JEFP11;JEF INVESTIMENTOS SA;'ÚNI;'001;ND;Registrado;BRJEFPDBS007;DISPENSA ICVM 476/09;22/11/2012;;;05/11/2012;05/11/2017; - - - - - - ;;05/11/2012;-;-;AGE;01/11/2012;;;Escritural;Quirografária;Simples;500;0,;0,;500;0;0;0;0,;0;0,;0;R$;1,000,000,000,000;R$;670,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;330,000;12;MES;05/11/2015;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;18,200;252;6;MES;05/05/2013;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;SLW CVC LTDA;BANCO BRADESCO S/A;CAIXA ECONOMICA FEDERAL   ;3.50763E+11;N; n ;
JFEN13;JOAO FORTES ENGENHARIA S/A;'001;'003;ND;Registrado;BRJFENDBS028;DISPENSA ICVM 476/09;13/09/2015;;;15/08/2015;15/02/2018; - - - - - - ;;15/09/2015;03/09/2015;-;RCA;15/08/2015;;;Escritural;Real;Simples;175;0,;0,;175;0;0;0,;0,;0;0,;0;R$;1,000,000,000,000;R$;1,080,076,000,000;21/07/2016;IPCA;  - ;Padrão - SND;15;-;;0,00;0,000;-;;;83,300;1;MES;15/03/2017;-;Percentual fixo sobre o valor nominal atualizado em períodos uniformes;95,000;252;1;MES;15/03/2017;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;SIMPLIFIC PAVARINI DTVM LTDA;ITAU CV S/A;BANCO ITAU-BBA S/A;3.30355E+13;N; n ;
JHMN11;JHSF MANAUS EMPREENDIMENTOS E INCORPORACOES SA;'ÚNI;'001;ND;Registrado;BRJHMNDBS001;DISPENSA ICVM 476/09;17/12/2013;;;18/12/2013;18/12/2023; - - - - - - ;;18/12/2013;18/12/2013;-;AGE;29/11/2013;;;Escritural;Quirografária;Simples;9400;0,;0,;9400;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;83,333;6;MES;18/06/2018;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;34,000;252;6;MES;18/06/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;BANCO BRADESCO S/A;BB BCO DE INVESTIMENTO S/A;9.54785E+12;N; n ;
JHSP14;JHSF PARTICIPACOES S/A;'ÚNI;'004;ND;Registrado;BRJHSFDBS038;DISPENSA ICVM 476/09;23/03/2012;;;23/03/2012;23/03/2017; - - - - - - ;;23/03/2012;-;-;RCA;15/03/2012;RCA;23/03/2012;Escritural;Quirografária;Simples;350;0,;0,;350;0;0;0;0,;0;0,;0;R$;1,000,000,000,000;R$;450,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;   ;100,00;0,000;-;;;-;6;MES;23/09/2014;-;Percentual variável sobre o valor nominal de emissão em períodos uniformes;17,500;252;6;MES;23/09/2012;Útil;Exponencial;0,0000;0;0,;0 0;-;-;-;0,0000;0;-;-;-;;;;;;;BANCO BRADESCO S/A;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;BANCO BRADESCO S/A;BB BCO DE INVESTIMENTO S/A;8.29422E+12;N; n ;
JHSP15;JHSF PARTICIPACOES S/A;'ÚNI;'005;ND;Registrado;BRJHSFDBS046;DISPENSA ICVM 476/09;17/12/2013;;;18/12/2013;18/12/2023; - - - - - - ;;18/12/2013;18/12/2013;-;RCA;29/11/2013;;;Escritural;Quirografária;Simples;30000;0,;0,;30000;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;83,333;6;MES;18/06/2018;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;34,000;252;6;MES;18/06/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;BANCO BRADESCO S/A;BB BCO DE INVESTIMENTO S/A;8.29422E+12;N; n ;
JMCD12;J MACEDO S/A;'ÚNI;'002;ND;Registrado;BRJMCDDBS011;DISPENSA ICVM 476/09;30/09/2013;;;30/09/2013;30/09/2018; - - - - - - ;;30/09/2013;30/09/2013;-;RCA;23/09/2013;;;Escritural;Quirografária;Simples;100;0,;0,;100;0;0;0,;0,;0;0,;0;R$;1,000,000,000,000;R$;714,400,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;142,800;6;MES;30/09/2015;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;14,000;252;6;MES;30/09/2015;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;ITAU UNIBANCO SA;PENTAGONO S/A DTVM;ITAU CV S/A;BANCO SAFRA S/A   ;1.49984E+13;N; n ;
JSLO11;JSL LOCACOES SA;'ÚNI;'001;ND;Registrado;BRJSLODBS008;DISPENSA ICVM 476/09;28/10/2015;;;24/09/2015;24/09/2018; - - - - - - ;;29/10/2015;29/10/2015;-;AGE;14/09/2015;;;Escritural;Quirografária;Simples;30000;0,;0,;30000;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;100,00;0,000;-;;;-;-;-;-;-;-;19,300;252;6;MES;24/03/2016;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;HSBC BANK BRASIL S/A - B M;1.41176E+13;N; n ;
JSML16;JSL SA;'001;'006;ND;Registrado;BRJSLGDBS079;CVM/SRE/DEB/2013/018;24/07/2013;;;15/07/2013;15/07/2018; - - - - - - ;;15/07/2013;30/07/2013;-;RCA;12/06/2013;;;Escritural;Quirografária;Simples;152429;0,;0,;152429;0;0;0,;0,;0;0,;0;R$;1,000,000,000;R$;1,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;;100,00;0,000;-;;;-;-;-;-;-;-;18,000;252;6;MES;15/01/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO BTG PACTUAL S/A;5.25484E+13;N; n ;
JSML17;JSL SA;'ÚNI;'007;ND;Registrado;BRJSLGDBS0A9;DISPENSA ICVM 476/09;28/10/2013;;;24/10/2013;24/10/2019; - - - - - - ;;29/10/2013;29/10/2013;-;RCA;14/10/2013;;;Escritural;Quirografária;Simples;17000;0,;0,;17000;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;8,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;117,50;0,000;-;;;200,000;12;MES;24/10/2015;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;0,0000;0,;3;MES;24/01/2014;-;Linear;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BB BCO DE INVESTIMENTO S/A;5.25484E+13;N; n ;
JSML18;JSL SA;'001;'008;ND;Registrado;BRJSLGDBS0B7;DISPENSA ICVM 476/09;17/06/2014;;;15/06/2014;15/06/2019; - - - - - - ;;15/06/2014;18/06/2014;-;RCA;09/05/2014;;;Escritural;Quirografária;Simples;165175;0,;0,;165175;0;0;0,;0,;0;0,;0;R$;1,000,000,000;R$;1,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;116,00;0,000;-;;;500,000;12;MES;15/06/2018;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;0,0000;0,;6;MES;15/12/2014;-;Linear;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BCO VOTORANTIM S/A;5.25484E+13;N; n ;
JSML19;JSL SA;'001;'009;ND;Registrado;BRJSLGDBS0F8;DISPENSA ICVM 476/09;18/12/2014;;;15/12/2014;15/12/2019; - - - - - - ;;19/12/2014;19/12/2014;-;RCA;09/12/2014;;;Escritural;Quirografária;Simples;10000;0,;0,;10000;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;116,00;0,000;-;;;333,300;12;MES;15/12/2017;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;0,0000;0,;6;MES;15/06/2015;-;Linear;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BB BCO DE INVESTIMENTO S/A;5.25484E+13;N; n ;
JSML26;JSL SA;'002;'006;ND;Registrado;BRJSLGDBS087;CVM/SRE/DEB/2013/019;24/07/2013;;;15/07/2013;15/07/2020; - - - - - - ;;15/07/2013;31/07/2013;-;RCA;12/06/2013;;;Escritural;Quirografária;Simples;62472;0,;0,;62472;0;0;0,;0,;0;0,;0;R$;1,000,000,000;R$;1,000,000,000;21/07/2016;DI;Integrante de Juros;Padrão - SND;;-;;100,00;0,000;-;;;330,000;12;MES;15/07/2018;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;22,000;252;6;MES;15/01/2014;Útil;Exponencial;0,0000;0,;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BANCO BTG PACTUAL S/A;5.25484E+13;N; n ;
JSML28;JSL SA;'002;'008;ND;Registrado;BRJSLGDBS0C5;DISPENSA ICVM 476/09;17/06/2014;;;15/06/2014;15/06/2021; - - - - - - ;;15/06/2014;18/06/2014;-;RCA;09/05/2014;;;Escritural;Quirografária;Simples;71751;0,;0,;71751;0;0;0,;0,;0;0,;0;R$;1,000,000,000;R$;1,190,780,590;21/07/2016;IPCA;  - ;Padrão - SND;15;-;;0,00;0,000;-;;;333,300;12;MES;15/06/2019;-;Percentual fixo sobre o valor nominal atualizado em períodos uniformes;80,000;252;12;MES;15/06/2015;Útil;Exponencial;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BCO VOTORANTIM S/A;5.25484E+13;N; n ;
JSML29;JSL SA;'002;'009;ND;Registrado;BRJSLGDBS0E1;DISPENSA ICVM 476/09;18/12/2014;;;15/12/2014;15/12/2021; - - - - - - ;;19/12/2014;19/12/2014;-;RCA;09/12/2014;;;Escritural;Quirografária;Simples;15000;0,;0,;15000;0;0;0,;0,;0;0,;0;R$;10,000,000,000;R$;10,000,000,000;21/07/2016;DI;  - ;Padrão - SND;;-;;118,50;0,000;-;;;200,000;12;MES;15/12/2017;-;Percentual fixo sobre o valor nominal de emissão em períodos uniformes;0,0000;0,;6;MES;15/06/2015;-;Linear;0,0000;;0,;-;-;-;-;-;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PENTAGONO S/A DTVM;BANCO BRADESCO S/A;BB BCO DE INVESTIMENTO S/A;5.25484E+13;N; n ;
