Data,DI,DOLAR,IGP-M,IPCA,PRÉ,TJLP,TR
2014-07-31,2.6267857142857145,,9.6,7.539666666666666,16.139125,10.977586206896552,9.830769230769231
2014-08-31,3.76,,9.6,6.879333333333332,16.02825,10.932758620689656,9.865384615384615
2014-09-30,2.7899999999999996,,9.6,6.218999999999999,15.917375,10.887931034482758,9.9
2014-10-31,2.651666666666667,4.96,9.6,8.047785714285714,15.8065,10.843103448275862,10.27
2014-11-30,2.830238095238095,4.96,9.6,8.103649107142857,15.695625,10.798275862068966,10.64
2014-12-31,2.34053,4.96,9.6,8.1595125,15.58475,10.753448275862068,11.01
2015-01-31,2.481904761904762,4.96,9.6,7.2743,15.473875,10.708620689655172,11.38
2015-02-28,2.5722222222222224,4.96,9.6,7.041325,15.363,10.663793103448276,11.75
2015-03-31,2.675,4.96,9.6,7.365662499999999,15.252125000000001,10.61896551724138,11.791666666666666
2015-04-30,2.9270476190476193,4.96,9.6,7.6899999999999995,15.141250000000001,10.574137931034482,11.833333333333334
2015-05-31,3.4214285714285717,4.96,9.6,7.3273,15.030375000000001,10.529310344827586,11.875
2015-06-30,3.49921875,4.96,9.6,9.0,14.919500000000001,10.48448275862069,11.916666666666666
2015-07-31,2.4312499999999995,4.96,9.6,8.127633333333334,14.808625000000001,10.439655172413794,11.958333333333334
2015-08-31,2.821,4.96,9.6,8.77005,14.697750000000001,10.394827586206896,12.0
2015-09-30,2.9676190476190474,4.96,9.6,8.2403,14.586875000000001,10.35,10.875
2015-10-31,5.394428571428572,4.96,9.6,10.4978,14.476,10.35,9.75
2015-11-30,3.39152,4.96,9.6,9.284666666666666,14.476,10.35,11.75
2015-12-31,2.697777777777778,4.96,9.6,8.357666666666667,14.476,10.35,11.35
2016-01-31,4.681666666666667,4.96,9.6,8.302244444444444,14.476,10.35,10.95
2016-02-29,1.6,4.96,9.6,8.246822222222223,14.476,10.35,10.55
2016-03-31,3.9999999999999996,4.96,9.6,8.1914,14.476,10.35,10.15
2016-04-30,2.9266666666666667,4.96,9.6,8.243566666666666,14.476,10.35,9.75
2016-05-31,4.039166666666667,4.96,9.6,8.295733333333333,14.476,10.35,9.75
2016-06-30,3.3499999999999996,4.96,9.6,8.3479,14.476,10.35,9.75
2016-07-31,4.225,4.96,9.6,8.040199999999999,14.476,10.35,9.75
2016-08-31,5.1,4.96,9.6,7.7325,14.476,10.35,9.75
2016-09-30,4.574999999999999,4.96,9.6,7.7325,14.476,10.35,9.75
2016-10-31,4.05,4.96,9.6,7.7325,14.476,10.35,9.75
2016-11-30,2.9250000000000003,4.96,9.6,7.7325,14.476,10.35,9.75
2016-12-31,1.65,4.96,9.6,7.7325,14.476,10.35,9.75
