Código do Ativo;Empresa;Série;Emissão;IPO;Situação;ISIN;Registro CVM da Emissão;Data de Registro CVM da Emissão;Registro CVM do Programa;Data de Registro CVM do Programa;Data de Emissão; Data de Vencimento;Motivo de Saída ;Data de Saída / Novo Vencimento; Data do Início da Rentabilidade;Data do Início da Distribuição;Data da Próxima Repactuação;Ato Societário (1);Data do Ato (1);Ato Societário (2);Data do Ato (2);Forma;Garantia/Espécie;Classe;Quantidade Emitida;Artigo 14º;Artigo 24º;Quantidade em Mercado;Quantidade em Tesouraria;Quantidade Resgatada;Quantidade  Cancelada;Quantidade Convertida no SND;Quantidade Convertida fora do SND;Quantidade Permutada no SND;Quantidade Permutada fora do SND;Unidade Monetária;Valor Nominal na Emissão;Unidade Monetária;Valor Nominal Atual;Data Últ. VNA;Índice;Tipo;Critério de Cálculo;Dia de Referência para Índice de Preços;Critério para Índice;Corrige a cada;Percentual Multiplicador/Rentabilidade;Limite da TJLP;Tipo de Tratamento do Limite da TJLP;Juros Critério Antigo do SND;Prêmios Critério Antigo do SND;Amortização - Taxa;Amortização - Cada;Amortização - Unidade;Amortização - Carência;Amortização - Critério;Tipo de Amortização;Juros Critério Novo - Taxa;Juros Critério Novo - Prazo;Juros Critério Novo - Cada;Juros Critério Novo - Unidade;Juros Critério Novo - Carência;Juros Critério Novo - Critério;Juros Critério Novo - Tipo;Prêmio Critério Novo - Taxa;Prêmio Critério Novo - Prazo;Prêmio Critério Novo - Cada;Prêmio Critério Novo - Unidade;Prêmio Critério Novo - Carência;Prêmio Critério Novo - Critério;Prêmio Critério Novo - Tipo;Participação - Taxa;Participação - Cada;Participação - Unidade;Participação - Carência;Participação - Descrição;Rating1;Agência Classificadora;Rating2;Agência Classificadora;Rating3;Agência Classificadora;Banco Mandatário;Agente Fiduciário;Instituição Depositária;Coordenador Líder;CNPJ;Deb. Incent. (Lei 12.431);Escritura Padronizada;Resgate Antecipado
ABC91     ;PARTICIPACOES ABC S/A;'009;'001;ND;Excluído;BRPTABDBS094;SEP/GER/DEB - 95/054;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
ABC92     ;PARTICIPACOES ABC S/A;'018;'001;ND;Excluído;BRPTABDBS0I1;SEP/GER/DEB - 95/063;19/07/1995;;;23/05/1995;Indeterminado;VENCIMENTO ANTECIPADO;;23/05/1997;24/07/1995;-;AGE;22/06/1995;;;Nominativa;Real;Permutável;44;0,;0,;0;0;0;0;0;0;0;0;R$;11.727,040000;R$;0,000000;23/09/2003;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% 000;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;SEM BANCO LIQUIDANTE/MANDATARIO;APORTE DTVM LTDA.;;ITAU UNIBANCO S.A.;6.35E+11;N; n ;
ACES11    ;ACESITA S/A;'001;'001;ND;Excluído;BRACESDBM018;SEP/GER/DCA - 93/001;01/04/1993;;;01/01/1993;31/12/1995;VENCIMENTO;;01/01/1993;-;-;AGE;18/02/1993;   ;;Nominativa;Flutuante;Conversível;57.711;0;0;0;0;0;0;0;0;0;0;Cr$;15.200.000,000000;R$;0,000000;;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;12,0000% a.a 360 dias;SEM ÍNDICE + 4,00 %  a.a. - ;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;UNIBANCO UNIAO DE BCOS BRASILEIROS S/A;OLIVEIRA TRUST DTVM S/A;;UNIBANCO UNIAO DE BCOS BRASILEIROS S/A;3.34E+13;N; n ;
ACES12    ;ACESITA S/A;'001;'002;ND;Excluído;BRACESDBP011;SEP/GER/DCA - 96/012;19/08/1996;;;01/07/1996;01/07/1999;VENCIMENTO;;01/07/1997;-;-;AGE;05/07/1996;;;Nominativa;Flutuante;Conversível;145;0,;0,;0;0;0;0;0;0;0;0;R$;1.400,000000;R$;0,000000;;ANBID;Integrante de Juros;Não Padrão - SND;0;DC;0;0,00;0,000;-;1,0000% a.a 360 dias;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0,;-;-;-;;;;;;;UNIBANCO UNIAO DE BCOS BRASILEIROS S/A;OLIVEIRA TRUST DTVM S/A;;UNIBANCO UNIAO DE BCOS BRASILEIROS S/A;3.34E+13;N; n ;
ACES21    ;ACESITA S/A;'002;'001;ND;Excluído;BRACESDBM026;SEP/GER/DCA - 93/002;01/04/1993;;;01/01/1993;31/12/1995;VENCIMENTO;;01/01/1993;-;-;AGE;18/02/1993;   ;;Escritural;Flutuante;Conversível;413;0;0;0;0;0;0;0;0;0;0;Cr$;912.000.000,000000;R$;0,000000;;US$ COMERCIAL;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;11,0000% a.a 360 dias;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0;-;-;-;;;;;;;UNIBANCO UNIAO DE BCOS BRASILEIROS S/A;OLIVEIRA TRUST DTVM S/A;;UNIBANCO UNIAO DE BCOS BRASILEIROS S/A;3.34E+13;N; n ;
ACSH11    ;ANCAR EMPREENDIMENTOS COMERCIAIS S/A;'UNI;'001;Não;Excluído;BRACSHDBS018;SEP/GER/DEB - 96/003;11/01/1996;;;01/12/1995;01/12/2003;CANCELAMENTO;27/12/2006;01/12/1995;12/01/1996;-;AGE;04/12/1995;AGE;11/12/1995;Nominativa;Real;Simples;2;0;0;0;0;0;1.108.997;0;0;0;0;R$;10.000,000000;R$;0,000000;01/12/2006;IGP-M;Correção Monetária;Não Padrão - SND;0;DC;   ;0,00;0,000;-;12,0000% a.a 360 dias;SEM ÍNDICE + 2,00 %  a.a. - ;-;-;MES;-;;Percentual variável sobre o valor nominal atualizado em períodos não uniformes;;;;;;;;;;;;;;;0,0000;29;DIA;10/07/2001;0,006750% DA REC. LIQUIDA DA ANCAR EMPREEND. COM. ;;;;;;;BANKPAR BANCO MÚLTIPLO S/A;OLIVEIRA TRUST DTVM S/A;;BANKPAR BANCO MÚLTIPLO S/A;4.04E+13;N; n ;
ACST14    ;ACESITA S/A;'UNI;'004;Não;Excluído;BRACESDBS015;CVM/SRE/DEB - 99/065;20/12/1999;;;15/12/1999;15/12/2002;VENCIMENTO;;15/12/2001;22/12/1999;-;AGE;05/11/1999;   ;;Nominativa;Quirografária;Simples;30;0;0;22.088;0;0;0;0;0;0;0;R$;10.000,000000;R$;0,000000;16/12/2002;DI;Integrante de Juros;Padrão - SND;0;DU;0;110,00;0,000;-;;;0,0000;0;-;-;-;-;0,0000;0;6;MES;15/06/2002;Civil;Exponencial;0,0000;0;0,;-;-;-;-;0,0000;0;-;-;-;;;;;;;ITAU UNIBANCO S.A.;OLIVEIRA TRUST DTVM S/A;ITAU UNIBANCO S/A;BANCO DO BRASIL S/A;3.34E+13;N; n ;
AGRL11    ;AGRALE S/A;'001;'001;ND;Excluído;BRAGRADBS016;SEP/GER/DEB - 91/010;18/04/1991;;;01/04/1991;01/04/2001;CANCELAMENTO;04/02/1997;01/04/1996;-;-;AGE;04/03/1991;;;Nominativa;Real;Simples;36;0,;0,;0;0;0;0;0;0;0;0;Cr$;100.000,000000;R$;0,000000;;TR;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;12,0000% a.a 360 dias;IGP-M       - ;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0,;-;-;-;;;;;;;BANCO BRADESCO S/A;PLANNER-SANVEST TRUSTEE DTVM LTDA.;;BANCO BRADESCO S/A;8.86E+13;N; n ;
ALCA11    ;ALCALIS DO RIO GRANDE DO NORTE - ALCANORTE;'001;'001;ND;Excluído;BRALCADBS018;SEP/GER/DEB - 96/065;25/06/1996;;;18/06/1996;25/10/1996;VENCIMENTO;13/02/1997;18/06/1996;-;-;AGE;24/05/1996;;;Nominativa;Real;Simples;17;0,;0,;0;0;0;0;0;0;0;0;R$;1.000,000000;R$;0,000000;;ANBID;Integrante de Juros;Não Padrão - SND;0;DC;0;0,00;0,000;-;0,0000% ;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0,;-;-;-;;;;;;;BANCO VEGA S/A;SIMPLIFIC PAVARINI DTVM LTDA;;VEGA S/A CCVM;8.25E+11;N; n ;
ALCO14    ;ALCOA ALUMINIO S/A;'001;'004;ND;Excluído;;SEP/GER/DEB - 90/020;13/03/1990;;;01/01/1990;Indeterminado;RESGATE TOTAL ANTECIPADO;;01/01/1992;-;-;AGE;09/12/1989;;;Nominativa;Subordinada;Simples;7.3;0,;0,;0;0;0;0;0;0;0;0;NCz$;100.000,000000;R$;0,000000;;TR;Correção Monetária;Não Padrão - SND;0;DC;0;0,00;0,000;-;12,0000% a.a 360 dias;;-;-;-;-;;-;;;;;;;;;;;;;;;0,0000;0,;-;-;-;;;;;;;ITAU UNIBANCO S.A.;PLANNER-SANVEST TRUSTEE DTVM LTDA.;;CITIBANK CCTVM S/A;2.36E+13;N; n ;
